,model,fitness,episode
342,./models\v1_20241121-224118_cc0e3d0b_16400.pth,-770.3987351912346,16400
343,./models\v1_20241121-224118_cc0e3d0b_16500.pth,-748.2692374686085,16500
344,./models\v1_20241121-224118_cc0e3d0b_16600.pth,-484.34049633893176,16600
345,./models\v1_20241121-224118_cc0e3d0b_16700.pth,-628.503541454409,16700
346,./models\v1_20241121-224118_cc0e3d0b_16800.pth,-680.1051265856393,16800
347,./models\v1_20241121-224118_cc0e3d0b_16900.pth,-462.8045772158603,16900
348,./models\v1_20241121-224118_cc0e3d0b_17000.pth,-149.32432326230776,17000
349,./models\v1_20241121-224118_cc0e3d0b_17100.pth,-190.46397846414874,17100
350,./models\v1_20241121-224118_cc0e3d0b_17200.pth,-158.431119224911,17200
351,./models\v1_20241121-224118_cc0e3d0b_17300.pth,-289.06118596759086,17300
352,./models\v1_20241121-224118_cc0e3d0b_17400.pth,-312.40928470200737,17400
353,./models\v1_20241121-224118_cc0e3d0b_17500.pth,-276.48582764830627,17500
354,./models\v1_20241121-224118_cc0e3d0b_17600.pth,-275.7606577400826,17600
355,./models\v1_20241121-224118_cc0e3d0b_17700.pth,-572.4459918073494,17700
356,./models\v1_20241121-224118_cc0e3d0b_17800.pth,-563.6406834203651,17800
357,./models\v1_20241121-224118_cc0e3d0b_17900.pth,-575.7590160726216,17900
358,./models\v1_20241121-224118_cc0e3d0b_18000.pth,-695.0420506688973,18000
359,./models\v1_20241121-224118_cc0e3d0b_18100.pth,-728.6845557320556,18100
